com.samsung.shealth.step_daily_trend,6000085,5
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2018-05-11 04:07:05.395,20304.01,26338,-2,1523318400000,1.486545,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.395,073f7072-469d-4631-8624-3c5a235625d9.binning_data.json,073f7072-469d-4631-8624-3c5a235625d9,826.3199,com.sec.android.app.shealth
2018-05-11 04:07:05.359,12216.4795,15695,0,1522886400000,6.9444447,OauJ3004CZ,com.sec.android.app.shealth,2018-05-11 04:07:05.359,078e0974-fe96-43fc-ab0c-3b22ba2e1c36.binning_data.json,078e0974-fe96-43fc-ab0c-3b22ba2e1c36,517.88,com.sec.android.app.shealth
2018-07-01 23:42:16.606,6426.41,8512,0,1530403200000,2.75,OauJ3004CZ,com.sec.android.app.shealth,2018-07-02 07:00:04.888,07b28ba9-68d3-4432-af11-0b8989a19c65.binning_data.json,07b28ba9-68d3-4432-af11-0b8989a19c65,278.33,com.sec.android.app.shealth
2018-08-07 09:51:58.654,11864.829,15440,0,1533600000000,3.63922,OauJ3004CZ,com.sec.android.app.shealth,2018-08-08 07:02:28.619,086594a7-e5a7-43ed-9fd3-c6bc4a2f9db3.binning_data.json,086594a7-e5a7-43ed-9fd3-c6bc4a2f9db3,492.90994,com.sec.android.app.shealth
2018-09-13 19:24:49.764,6681.25,8573,0,1536796800000,4.1944437,OauJ3004CZ,com.sec.android.app.shealth,2018-09-14 06:54:06.337,08ab187c-5964-4401-94e2-4cdb30882b7f.binning_data.json,08ab187c-5964-4401-94e2-4cdb30882b7f,276.93997,com.sec.android.app.shealth
2018-05-11 04:07:05.341,10334.38,13358,0,1515974400000,4.5000005,OauJ3004CZ,com.sec.android.app.shealth,2018-05-11 04:07:05.341,0939231e-b86a-49dc-b436-1d00b89b2449.binning_data.json,0939231e-b86a-49dc-b436-1d00b89b2449,443.4,com.sec.android.app.shealth
2018-07-31 07:00:02.890,4159.31,5412,0,1532908800000,2.75,OauJ3004CZ,com.sec.android.app.shealth,2018-07-31 07:00:02.890,09c3ad7b-d518-4d6e-9848-569376ba3f75.binning_data.json,09c3ad7b-d518-4d6e-9848-569376ba3f75,173.7,com.sec.android.app.shealth
2018-08-27 21:39:45.094,6896.79,8909,0,1535328000000,4.527778,OauJ3004CZ,com.sec.android.app.shealth,2018-08-28 07:00:03.577,0a2512e1-63b5-4e8d-a4da-f9fa3c75b11f.binning_data.json,0a2512e1-63b5-4e8d-a4da-f9fa3c75b11f,283.94,com.sec.android.app.shealth
2018-05-11 04:07:05.392,5634.4297,7228,-2,1522281600000,1.5217917,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.392,0ba31873-9389-444a-aa48-260ecff98695.binning_data.json,0ba31873-9389-444a-aa48-260ecff98695,229.63995,com.sec.android.app.shealth
2018-05-11 04:07:05.380,6540.98,8410,-2,1517961600000,1.5384005,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.380,0bb175c6-669a-443d-a7d6-63ada2f5d3d0.binning_data.json,0bb175c6-669a-443d-a7d6-63ada2f5d3d0,273.45996,com.sec.android.app.shealth
